user	item	timestamp	rating
12	713	-3-	3
12	462	-3-	3
12	463	-3-	3
12	464	-3-	3
12	888	-3-	3
12	82	-3-	3
12	84	-3-	3
12	334	-3-	3
12	472	-3-	4
12	346	-3-	3
12	79	-3-	5
12	988	-3-	3
12	221	-3-	4
12	350	-3-	2
12	735	-3-	3
12	737	-3-	3
12	738	-3-	3
12	739	-3-	3
12	81	-3-	3
12	744	-3-	3
12	743	-3-	3
12	492	-3-	3
12	494	-3-	3
12	369	-3-	3
12	757	-3-	3
12	118	-3-	3
12	264	-3-	3
12	504	-3-	3
12	505	-3-	2
12	378	-3-	2
12	126	-3-	4
16	896	-3-	2
16	897	-3-	2
16	259	-3-	4
16	900	-3-	3
16	261	-3-	2
16	1	-3-	4
16	1033	-3-	5
16	791	-3-	4
16	908	-3-	4
16	526	-3-	4
16	1005	-3-	3
16	144	-3-	5
16	323	-3-	4
16	789	-3-	3
16	790	-3-	4
16	151	-3-	3
16	794	-3-	2
16	283	-3-	2
16	412	-3-	1
16	285	-3-	4
16	286	-3-	3
16	287	-3-	4
16	289	-3-	2
16	163	-3-	2
16	164	-3-	4
16	421	-3-	4
16	1024	-3-	3
16	423	-3-	3
16	298	-3-	2
16	615	-3-	2
16	813	-3-	3
16	814	-3-	3
16	304	-3-	2
16	305	-3-	2
16	434	-3-	2
16	1011	-3-	3
16	310	-3-	2
16	316	-3-	2
16	885	-3-	4
16	1001	-3-	4
16	603	-3-	2
16	835	-3-	3
16	822	-3-	4
16	841	-3-	2
16	887	-3-	3
16	803	-3-	3
16	340	-3-	2
16	301	-3-	2
16	911	-3-	4
16	609	-3-	4
16	610	-3-	3
16	611	-3-	3
16	228	-3-	5
16	894	-3-	4
16	231	-3-	2
16	232	-3-	2
16	1022	-3-	3
16	1003	-3-	4
16	621	-3-	3
16	622	-3-	2
16	1008	-3-	2
16	1009	-3-	3
16	243	-3-	3
16	884	-3-	2
16	245	-3-	3
16	886	-3-	3
16	631	-3-	4
16	1018	-3-	1
16	1019	-3-	2
16	1021	-3-	3
16	254	-3-	3
25	896	-3-	4
25	897	-3-	1
25	899	-3-	2
25	261	-3-	3
25	1	-3-	3
25	905	-3-	4
25	231	-3-	2
25	910	-3-	2
25	813	-3-	3
25	914	-3-	3
25	151	-3-	1
25	664	-3-	4
25	410	-3-	4
25	283	-3-	2
25	412	-3-	3
25	669	-3-	4
25	158	-3-	3
25	927	-3-	4
25	417	-3-	4
25	798	-3-	4
25	163	-3-	3
25	666	-3-	3
25	679	-3-	3
25	681	-3-	3
25	682	-3-	3
25	683	-3-	3
25	301	-3-	3
25	814	-3-	3
25	797	-3-	3
25	304	-3-	4
25	305	-3-	4
25	820	-3-	4
25	437	-3-	4
25	822	-3-	4
25	311	-3-	4
25	312	-3-	4
25	436	-3-	3
25	159	-3-	3
25	411	-3-	4
25	821	-3-	4
25	321	-3-	4
25	323	-3-	4
25	670	-3-	4
25	841	-3-	3
25	887	-3-	3
25	884	-3-	4
25	352	-3-	4
25	851	-3-	4
25	340	-3-	3
25	853	-3-	4
25	600	-3-	4
25	602	-3-	4
25	286	-3-	4
25	604	-3-	4
25	608	-3-	4
25	246	-3-	1
25	610	-3-	3
25	613	-3-	3
25	615	-3-	3
25	233	-3-	1
25	235	-3-	3
25	237	-3-	3
25	622	-3-	4
25	624	-3-	3
25	241	-3-	4
25	243	-3-	4
25	285	-3-	4
25	885	-3-	4
25	630	-3-	4
25	631	-3-	4
25	632	-3-	3
25	634	-3-	3
25	892	-3-	4
25	253	-3-	4
25	894	-3-	4
22	299	-3-	2
22	261	-3-	1
22	1033	-3-	1
22	158	-3-	2
22	1018	-3-	4
22	144	-3-	4
22	789	-3-	1
22	665	-3-	5
22	410	-3-	1
22	667	-3-	3
22	669	-3-	3
22	286	-3-	5
22	287	-3-	1
22	417	-3-	1
22	677	-3-	2
22	666	-3-	3
22	1007	-3-	5
22	683	-3-	2
22	814	-3-	5
22	797	-3-	1
22	304	-3-	4
22	305	-3-	4
22	434	-3-	4
22	243	-3-	4
22	820	-3-	5
22	437	-3-	2
22	310	-3-	1
22	311	-3-	1
22	323	-3-	2
22	285	-3-	4
22	841	-3-	2
22	340	-3-	1
22	853	-3-	2
22	1017	-3-	1
22	600	-3-	4
22	228	-3-	1
22	605	-3-	1
22	246	-3-	1
22	610	-3-	2
22	356	-3-	4
22	231	-3-	1
22	232	-3-	3
22	234	-3-	5
22	235	-3-	5
22	622	-3-	3
22	623	-3-	3
22	238	-3-	5
22	242	-3-	2
22	1011	-3-	2
22	628	-3-	1
22	1013	-3-	1
22	630	-3-	5
22	1016	-3-	3
22	249	-3-	5
22	250	-3-	4
22	1019	-3-	4
13	384	-3-	3
13	385	-3-	4
13	387	-3-	4
13	388	-3-	5
13	774	-3-	4
13	263	-3-	3
13	650	-3-	3
13	983	-3-	3
13	12	-3-	2
13	653	-3-	4
13	15	-3-	3
13	16	-3-	3
13	451	-3-	5
13	640	-3-	3
13	495	-3-	5
13	926	-3-	4
13	31	-3-	3
13	160	-3-	5
13	551	-3-	5
13	425	-3-	3
13	170	-3-	4
13	941	-3-	4
13	709	-3-	3
13	948	-3-	2
13	949	-3-	4
13	950	-3-	4
13	825	-3-	2
13	954	-3-	4
13	394	-3-	5
13	962	-3-	4
13	395	-3-	5
13	965	-3-	3
13	710	-3-	3
13	330	-3-	3
13	75	-3-	2
13	77	-3-	5
13	979	-3-	5
13	855	-3-	4
13	984	-3-	4
13	996	-3-	4
13	987	-3-	3
13	860	-3-	5
13	222	-3-	5
13	98	-3-	3
13	995	-3-	4
13	100	-3-	5
13	997	-3-	4
13	872	-3-	3
13	367	-3-	5
13	915	-3-	2
13	766	-3-	3
13	343	-3-	4
13	382	-3-	5
23	384	-3-	3
23	640	-3-	3
23	770	-3-	1
23	388	-3-	4
23	774	-3-	3
23	263	-3-	4
23	650	-3-	3
23	653	-3-	3
23	915	-3-	4
23	160	-3-	4
23	167	-3-	3
23	170	-3-	4
23	46	-3-	3
23	564	-3-	3
23	565	-3-	3
23	566	-3-	3
23	825	-3-	3
23	570	-3-	3
23	571	-3-	3
23	188	-3-	4
23	829	-3-	4
23	830	-3-	4
23	569	-3-	3
23	330	-3-	5
23	465	-3-	3
23	983	-3-	4
23	984	-3-	4
23	986	-3-	4
23	987	-3-	3
23	860	-3-	2
23	991	-3-	4
23	98	-3-	3
23	100	-3-	4
23	869	-3-	4
23	551	-3-	5
23	495	-3-	4
23	761	-3-	5
14	1024	-3-	2
14	899	-3-	1
14	900	-3-	1
14	1031	-3-	1
14	905	-3-	3
14	11	-3-	3
14	909	-3-	3
14	910	-3-	1
14	785	-3-	3
14	9	-3-	3
14	537	-3-	3
14	154	-3-	1
14	159	-3-	1
14	800	-3-	1
14	304	-3-	3
14	162	-3-	3
14	676	-3-	3
14	165	-3-	1
14	817	-3-	3
14	683	-3-	3
14	303	-3-	3
14	432	-3-	4
14	433	-3-	1
14	820	-3-	3
14	311	-3-	1
14	321	-3-	1
14	837	-3-	1
14	838	-3-	1
14	839	-3-	1
14	164	-3-	3
14	246	-3-	1
14	236	-3-	3
14	1006	-3-	1
14	1010	-3-	3
14	883	-3-	1
14	1014	-3-	1
14	299	-3-	3
14	1016	-3-	2
14	1017	-3-	1
14	1022	-3-	3
5	896	-3-	5
5	897	-3-	3
5	1010	-3-	4
5	1	-3-	4
5	904	-3-	2
5	9	-3-	3
5	138	-3-	1
5	301	-3-	3
5	144	-3-	4
5	913	-3-	3
5	531	-3-	4
5	622	-3-	4
5	791	-3-	4
5	666	-3-	3
5	669	-3-	5
5	287	-3-	4
5	288	-3-	1
5	417	-3-	3
5	803	-3-	3
5	420	-3-	4
5	677	-3-	4
5	678	-3-	4
5	296	-3-	2
5	298	-3-	3
5	813	-3-	4
5	815	-3-	4
5	307	-3-	2
5	1033	-3-	3
5	822	-3-	3
5	951	-3-	3
5	952	-3-	4
5	953	-3-	3
5	310	-3-	3
5	848	-3-	1
5	312	-3-	2
5	852	-3-	1
5	600	-3-	4
5	164	-3-	2
5	604	-3-	4
5	610	-3-	3
5	166	-3-	3
5	1001	-3-	4
5	1002	-3-	4
5	1005	-3-	3
5	1006	-3-	4
5	626	-3-	3
5	884	-3-	4
5	885	-3-	4
5	887	-3-	3
5	506	-3-	1
5	1019	-3-	2
5	892	-3-	4
5	894	-3-	2
6	896	-3-	2
6	256	-3-	2
6	2	-3-	2
6	899	-3-	2
6	905	-3-	2
6	910	-3-	2
6	499	-3-	4
6	914	-3-	2
6	131	-3-	4
6	171	-3-	5
